time,accX,accY,accZ,target,group
2023-09-15 15:11:08.108,5.88,7.43,-1.39,Walk,1
2023-09-15 15:11:08.142,5.73,6.67,-0.05,Walk,1
2023-09-15 15:11:08.157,4.66,5.9,0.03,Walk,1
2023-09-15 15:11:08.174,1.36,4.23,0.41,Walk,1
2023-09-15 15:11:08.191,-1.19,2.91,0.99,Walk,1
2023-09-15 15:11:08.208,-1.76,2.48,1.31,Walk,1
2023-09-15 15:11:08.225,-1.56,2.28,1.42,Walk,1
2023-09-15 15:11:08.242,-1.76,1.78,1.35,Walk,1
2023-09-15 15:11:08.258,-2.04,1.3,1.27,Walk,1
2023-09-15 15:11:08.275,-2.11,0.75,1.38,Walk,1
2023-09-15 15:11:08.292,-1.76,0.07,1.57,Walk,1
2023-09-15 15:11:08.308,-1.59,-0.31,1.6,Walk,1
2023-09-15 15:11:08.325,-0.84,-0.72,1.6,Walk,1
2023-09-15 15:11:08.341,-0.09,-0.96,1.75,Walk,1
2023-09-15 15:11:08.358,-0.11,-1.24,1.71,Walk,1
2023-09-15 15:11:08.375,-0.37,-1.49,1.49,Walk,1
2023-09-15 15:11:08.391,-0.52,-1.62,0.95,Walk,1
2023-09-15 15:11:08.408,-0.69,-1.63,0.71,Walk,1
2023-09-15 15:11:08.424,-0.98,-1.52,0.38,Walk,1
2023-09-15 15:11:08.441,-1.35,,,Walk,1
2023-09-15 15:11:08.458,-1.59,-1.34,0.04,Walk,1
2023-09-15 15:11:08.475,-2.07,-1.26,-0.19,Walk,1
2023-09-15 15:11:08.491,-2.56,-1.16,,Walk,1
2023-09-15 15:11:08.508,-2.89,-1.16,-0.89,Walk,1
2023-09-15 15:11:08.524,-3.47,-1.18,-1.46,Walk,1
2023-09-15 15:11:08.541,-3.95,-1.28,-1.93,Walk,1
2023-09-15 15:11:08.558,-4.21,-1.32,-2.12,Walk,1
2023-09-15 15:11:08.575,-4.58,-1.13,-2.18,Walk,1
2023-09-15 15:11:08.591,-4.99,-1.1,-1.9,Walk,1
2023-09-15 15:11:08.607,-5.3,-1.25,-1.69,Walk,1
2023-09-15 15:11:08.624,-6.04,-1.78,-1.15,Walk,1
2023-09-15 15:11:08.642,-6.65,-2.44,-0.58,Walk,1
2023-09-15 15:11:08.658,-7.03,-2.92,0.2,Walk,1
2023-09-15 15:11:08.675,-7.59,-2.58,0.66,Walk,1
2023-09-15 15:11:08.691,-7.85,-1.17,1.89,Walk,1
2023-09-15 15:11:08.708,-7.52,-1.01,2.54,Walk,1
2023-09-15 15:11:08.725,-7.99,-1.35,2.44,Walk,1
2023-09-15 15:11:08.742,-9.93,-1.68,2.02,Walk,1
2023-09-15 15:11:08.758,-11.03,-2.09,1.91,Walk,1
2023-09-15 15:11:08.776,-11.03,-2.23,1.8,Walk,1
2023-09-15 15:11:08.792,-10.14,-2.12,1.1,Walk,1
2023-09-15 15:11:08.808,-8.13,-1.43,0.08,Walk,1
2023-09-15 15:11:08.825,-7.02,-1.13,-0.47,Walk,1
2023-09-15 15:11:08.842,-5.72,-0.53,-1.31,Walk,1
2023-09-15 15:11:08.858,-5.2,0.03,-1.29,Walk,1
